account_token,bank_code,amount,reference_token,status,errors
ACC-8af3914e,001,250634.94,REF-51ad1d0f,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-d8b003da,001,484010.01,REF-ee249551,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-cdd6eb82,044,100000000.0,REF-5d4c109a,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-21c0e9c9,044,-100,REF-ad6fa3cf,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-ee103710,044,100000000.0,REF-a630e445,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-b95ddfbe,232,100000000.0,REF-77fc4b54,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-375a94c0,044,100000000.0,REF-2c36e379,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-bac006ce,001,100990.24,REF-b4f221f6,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-68e5be59,003,143945.25,REF-d96329c9,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-0a4857c1,001,495606.83,REF-1829eba4,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b7e240db,001,18661.51,REF-5f46dfe3,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-0bce82d5,001,161813.93,REF-ee167ceb,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ed1d6bfa,003,89109.06,REF-e16be77a,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-cbc4f3b4,002,327223.55,REF-5343dd11,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-41c6f331,044,100000000.0,REF-4974b6c6,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-21dbb6f1,003,227979.3,REF-91a79860,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-fcef2c04,044,330733.53,REF-3c4478b8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
