account_token,bank_code,amount,reference_token,status,errors
ACC-a69e2e84,044,198457.7,REF-700e3505,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-d127c848,,5299.26,REF-ef57a978,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-a827ea6b,044,142408.01,REF-38bd88d0,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-d9d26dba,058,100000000.0,REF-d86c4223,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-77a767cd,044,96340.1,REF-62bd3bd7,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-2fe027ef,070,110151.56,REF-55fef825,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-76610d37,,157336.22,REF-751b1512,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-ac9d651d,001,277846.06,REF-e3b0c442,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-a757afec,082,301766.89,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-a809befa,214,154295.89,REF-69ad58d7,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-8261ea8d,,391634.82,REF-76196591,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-d39b7ccc,,280181.48,REF-fe50cb6e,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-cddea99c,214,302605.67,REF-bde54b2d,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-881eb612,002,189919.62,REF-a3c8e980,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-ffd1ec31,232,418216.6,REF-b9655dbc,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-cb15c211,232,100000000.0,REF-d43c9b6b,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-8e3efb11,,309503.67,REF-617750b6,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-e6b0c67d,214,105245.43,REF-43be15c3,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-0651e773,044,278322.69,REF-bc78d3a2,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-992d3735,058,407905.3,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-931a6add,082,-100,REF-0090d591,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-d39a15de,058,16033.62,REF-f0fe2689,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-084c935e,,237751.76,REF-657622d6,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-ba9806eb,082,185996.9,REF-512b2a6e,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ecb27271,044,307736.74,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-681cd196,,449466.5,REF-6bfc0946,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-18ff551b,,462878.98,REF-c37a245c,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-a220a6eb,001,354814.99,REF-af7c3c16,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ca3bcbfe,,199304.29,REF-c2594f87,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-19b32837,001,437543.66,REF-4330c246,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-57655872,,296558.41,REF-6825bd40,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-859d7f2d,,411446.49,REF-85698a31,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-979f24fa,,51102.35,REF-c3b816e3,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-c3f0ee92,070,216076.38,REF-a63034d6,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-5a16498b,,44742.96,REF-bbb2e076,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-5211cb22,003,0,REF-d03d0935,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-9e462f4e,044,21815.44,REF-fd9fdf52,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-3a63e41c,,162803.2,REF-c186c027,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-2476d752,082,373575.53,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-9bef4392,082,171607.14,REF-d089a851,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-41ef28be,001,244719.11,REF-1afde2de,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b6016e84,,258470.4,REF-35e708fd,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-035f3650,,136542.58,REF-e62a788f,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-ad9e598f,044,157533.35,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-5d6243af,,317436.15,REF-f6ba446c,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-c1ec5f18,082,146313.84,REF-5923c772,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-d959386b,058,96981.69,REF-63021bae,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-59d20606,001,451871.11,REF-e3b0c442,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-63b0b8f9,,161755.44,REF-2343a452,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-60ffb58a,,477948.16,REF-7e45ab6d,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-111d843f,,306570.3,REF-4bccf9df,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-57d30f8e,082,-100,REF-dbb38b0c,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-eb14a884,082,349102.82,REF-1d1123f8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-399e6f12,082,137730.56,REF-506f5123,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-5520aa0d,232,314657.1,REF-5c787efb,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-3a14f575,,419490.13,REF-26ec078b,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-6118e05d,070,214462.56,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-23f5e86c,215,-100,REF-2345e95e,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-4f02c8f6,,191694.08,REF-216c2b20,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-5836373f,044,170868.57,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-254f4a14,,454127.75,REF-67d3dbd5,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-2f663ccb,058,227012.97,REF-30357798,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-e5938bb4,,86292.49,REF-c776a2c8,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-77795fc3,,441065.77,REF-3fdd96dd,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
