account_token,bank_code,amount,reference_token,status,errors
ACC-5eff0d8b,001,219289.06,REF-c5901c13,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-5d66b8b1,003,499801.36,REF-c883f79f,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-bfc4167c,001,368323.14,REF-6a97fa27,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-1f69e7d9,,445833.52,REF-aa270266,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-5c90bb60,082,42785.18,REF-8791ae56,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ad580dc9,082,396118.1,REF-09df78c3,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-585d9fd8,058,338367.98,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-85d54972,,260464.88,REF-e691fa1e,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-8739879f,,393310.7,REF-84e1ae5f,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-612493ff,,46291.94,REF-4cc12750,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-58f67290,,46462.36,REF-ce30bbe3,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-62bc6c30,082,-100,REF-07e37352,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-01bc64f4,001,363449.23,REF-7cdf122b,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-585484d6,,344514.16,REF-84e6bb22,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-5ed66cb2,058,437497.66,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-30103da6,,263264.2,REF-bc6a8bc2,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-5a2cf803,001,266954.23,REF-808571a9,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-66feb084,,193651.31,REF-e8cc16b6,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-89e8454e,001,13465.18,REF-fc9b29c8,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-85b15b46,001,295652.5,REF-60866bce,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-bd058bd2,001,444411.57,REF-d7e6bbf9,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b69ceb8b,003,100000000.0,REF-26324568,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-e2abeb37,082,112794.96,REF-9b35c332,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-294f9f4e,001,172252.57,REF-15a0130c,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-6b87c355,,306937.13,REF-c25bbbeb,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-dc416415,232,248865.58,REF-0e5f67e5,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-c1805e3d,058,237982.67,REF-05237e3c,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-8b088675,,48850.37,REF-cba9d310,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-02a590ee,002,257229.97,REF-2bdbdba0,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-4b2244ec,082,185708.33,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-c47106f7,003,372123.89,REF-00a03443,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-e57dc12a,,45301.69,REF-6aa69939,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-8749d6aa,,336952.1,REF-525f00ff,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-35cde1c1,082,258163.84,REF-79a50ea8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-dc8b485e,232,358287.4,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-dc836790,,154755.51,REF-ca6768d4,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-09113eef,,252011.19,REF-52ab6b79,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-a9992714,001,470520.74,REF-9db18753,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-881b3bc6,,334886.24,REF-75b8324d,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-9379958f,002,0,REF-1fe644fa,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-8e2ef624,070,90878.94,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-8aaa55a7,058,0,REF-7a70d7cc,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-dd91cd32,,248353.08,REF-af6a8168,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-4ef7a784,070,381144.51,REF-43f46492,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-368cc1c7,232,0,REF-f4dc6625,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-d92d78a8,215,364401.22,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-76a706aa,,237673.2,REF-17694986,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-b23927de,,391048.36,REF-34ba06c0,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-b84c72ee,044,196310.62,REF-6c7a3f50,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-aad44cb4,082,376101.33,REF-4baeea43,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-66cd64aa,082,111472.59,REF-e3b0c442,Invalid,"[{'type': 'reference_id_validation', 'message': 'Reference ID must be non-empty'}]"
ACC-87452e11,214,301640.84,REF-b5f49246,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-477713e5,001,353972.59,REF-3771160d,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-bd889152,082,124518.3,REF-5cff0dfc,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-e268537d,,29884.79,REF-69b86b52,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-9e91ea21,,58480.46,REF-fcde5157,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-f0c92182,,347042.73,REF-c67e1384,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-8cf6632b,002,465369.54,REF-711b9f44,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-55bd90d5,,379884.93,REF-f8dc9907,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-c0d1a843,,51562.35,REF-5c7ca534,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-762c98fc,,386038.97,REF-240ca263,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-446e22a6,001,196649.69,REF-717f0824,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b5f2968a,082,248310.48,REF-8d7287e5,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ed950fdd,,163829.3,REF-b9421ab5,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-9abfb248,044,100000000.0,REF-6bb945c8,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-2483ff19,082,442866.6,REF-71b4ea8a,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-cdddc408,,470672.89,REF-370049ef,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-1f5dd603,232,86445.79,REF-47ea44e8,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-102c3b02,001,323818.97,REF-681dd08b,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-2c112ef2,002,389622.91,REF-9cc58622,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-a0982046,082,101024.13,REF-ed61b12e,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-943b51e8,003,100000000.0,REF-e0862671,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-9c5cf96c,001,322221.12,REF-0efa6779,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ca110fbc,070,100000000.0,REF-997c9b4a,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-9f8ccbfb,058,322434.9,REF-bb2911b5,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-f51d9185,058,106112.98,REF-dfa8ead8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-c8b5c085,001,189017.44,REF-c0c36427,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-36e9d0b4,,325117.56,REF-a2f304fe,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
ACC-f74d123e,,419374.31,REF-c62ea967,Invalid,"[{'type': 'format_error', 'message': 'Missing required fields'}]"
