account_token,bank_code,amount,reference_token,status,errors
ACC-5eff0d8b,001,219289.06,REF-c5901c13,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-5d66b8b1,003,499801.36,REF-c883f79f,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-bfc4167c,001,368323.14,REF-6a97fa27,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-5c90bb60,082,42785.18,REF-8791ae56,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ad580dc9,082,396118.1,REF-09df78c3,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-612493ff,,46291.94,REF-4cc12750,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-62bc6c30,082,-100,REF-07e37352,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-01bc64f4,001,363449.23,REF-7cdf122b,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-5a2cf803,001,266954.23,REF-808571a9,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-89e8454e,001,13465.18,REF-fc9b29c8,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-85b15b46,001,295652.5,REF-60866bce,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-bd058bd2,001,444411.57,REF-d7e6bbf9,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b69ceb8b,003,100000000.0,REF-26324568,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-e2abeb37,082,112794.96,REF-9b35c332,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-294f9f4e,001,172252.57,REF-15a0130c,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-6b87c355,,306937.13,REF-c25bbbeb,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-dc416415,232,248865.58,REF-0e5f67e5,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-c1805e3d,058,237982.67,REF-05237e3c,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-02a590ee,002,257229.97,REF-2bdbdba0,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-c47106f7,003,372123.89,REF-00a03443,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-e57dc12a,,45301.69,REF-6aa69939,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-35cde1c1,082,258163.84,REF-79a50ea8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-a9992714,001,470520.74,REF-9db18753,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-9379958f,002,0,REF-1fe644fa,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-8aaa55a7,058,0,REF-7a70d7cc,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-4ef7a784,070,381144.51,REF-43f46492,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-368cc1c7,232,0,REF-f4dc6625,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-b84c72ee,044,196310.62,REF-6c7a3f50,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-aad44cb4,082,376101.33,REF-4baeea43,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-87452e11,214,301640.84,REF-b5f49246,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-477713e5,001,353972.59,REF-3771160d,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-bd889152,082,124518.3,REF-5cff0dfc,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-8cf6632b,002,465369.54,REF-711b9f44,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-446e22a6,001,196649.69,REF-717f0824,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b5f2968a,082,248310.48,REF-8d7287e5,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-9abfb248,044,100000000.0,REF-6bb945c8,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-2483ff19,082,442866.6,REF-71b4ea8a,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-cdddc408,,470672.89,REF-370049ef,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-1f5dd603,232,86445.79,REF-47ea44e8,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-102c3b02,001,323818.97,REF-681dd08b,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-2c112ef2,002,389622.91,REF-9cc58622,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-a0982046,082,101024.13,REF-ed61b12e,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-943b51e8,003,100000000.0,REF-e0862671,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-9c5cf96c,001,322221.12,REF-0efa6779,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ca110fbc,070,100000000.0,REF-997c9b4a,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-9f8ccbfb,058,322434.9,REF-bb2911b5,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-f51d9185,058,106112.98,REF-dfa8ead8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-c8b5c085,001,189017.44,REF-c0c36427,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ccc94ff5,001,321034.96,REF-f0dc9472,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-c8616f58,044,358036.23,REF-c4a5950a,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-61c94c96,001,353098.29,REF-8d693c96,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-8e51d5a6,232,80212.03,REF-b6b396c0,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-2c870783,214,80752.76,REF-d3263c92,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-4596d8fb,232,345691.29,REF-a7d843d4,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-c28af4ed,001,264161.93,REF-04701b7d,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-9827fb0a,232,105415.17,REF-867ee527,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-8ea9ba0a,,16651.39,REF-067055fc,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-ff6c0e9c,001,388037.56,REF-8e69975f,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-73550c15,082,-100,REF-c9073ae7,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-cf1e26ad,001,396573.66,REF-efa0216b,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-c8745995,058,436822.45,REF-2a42787a,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-8baaf5bd,082,472025.97,REF-21285d96,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-651c37c1,001,399681.97,REF-08ec9fa9,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-f4f23cd3,215,123744.44,REF-745230d4,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-7049e33c,214,108144.97,REF-cdcc41ab,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-080288eb,214,52661.91,REF-4769f273,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-59dd3f0e,001,427792.26,REF-82022035,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-228063c3,,218607.28,REF-56769592,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-5fb7127c,070,-100,REF-1b06ab66,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-20e527b2,001,74193.03,REF-80dead0c,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-aa0aeff1,058,-100,REF-03d807df,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-57fa44a2,,229445.81,REF-1b3d08ac,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-e8b53962,232,478160.6,REF-9b627767,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
